reqId,판정,분류,위치,요지,제안 코드/명칭,비고
REQ_002,조건부,수정-L4,구매/가입/개통 > ord_phone_cart,장바구니를 탐색의 마지막 단계로,장바구니의 두 맥락(탐색 종료 / 결제 직전) L4 분리 검토,결정 필요
REQ_003,수용,추가-L4,인입 > ent_app_auth 본인인증,신용카드 인증 추가,ent_app_auth_03 | 신용카드 인증,
REQ_004,반려,수정-L2,탐색 > expl_srch,테스트 요청,제외,테스트 데이터
REQ_005,수용,수정-L4,인입 > ent_store_consult,본인확인 → 방문 목적 확인,신규 ent_store_consult_auth | 방문 목적 확인,cmn_auth_01 공통코드 재사용 정책도 정비
REQ_006,수용,추가-L4,인입 > ent_store_consult,STT 상담 녹음 동의,ent_store_consult_03 | STT 상담 녹음 동의,
REQ_007,수용,구조-L2,구매/가입/개통 > ord_acc,액세서리 주문에 대리점 개통 섞임,ISSUE-A: 신규 L2 ord_offline 분리,구조 선결
REQ_008,조건부,수정-L3,구매/가입/개통 > ord_offline_form,원스톱 개통 진행으로 명칭 수정,명칭 변경 전 두 L3(form/apply) 분기 합의 필요,정책 결정
REQ_009,조건부,수정-L3,구매/가입/개통 > ord_combo_offline,L4 swing 화면 순서와 고객센터 기능 혼재,L4 표준 흐름 + 분기 표기로 재정렬,정책 결정
REQ_010,수용,구조-L3,구매/가입/개통 > ord_combo_offline,왜 액세서리 L2에 결합 신청?,ISSUE-A 정리 시 ord_combo 또는 ord_offline로 이관,구조 선결
REQ_011,수용,추가-L4,구매/가입/개통 > ord_offline_setup,개통완료 가입내역 MMS 수신,ord_offline_setup_05 | 개통완료 및 가입내역 MMS 수신,ISSUE-A 정리 후 새 L2로 이관
REQ_013,반려,추가-L3,탐색 > expl_mbr,주요 혜택 프로그램 탐색,이미 expl_mbr_benefit 존재,요청자 안내
REQ_014,조건부,추가-L2,서비스 이용,결합 관리,유지 및 확장 > exp_combo | 결합 관리 (또는 exp_family 흡수),위치 재배치
REQ_015,수용,추가-L2,구매/가입/개통,사전예약 신청,ord_resv | 사전예약 신청,
REQ_016,검토,일반,-,이벤트 페이지 탐색 집계 정의,KPI 가이드에 명시. CJM 구조 변경 X,KPI 영역
REQ_017,회신,수정-L4,인입 > ent_app_onboard_01,TDS 온보딩 정의 문의,웰컴북/가이드북 별도 L4 분리 여부 회신 필요,회신 대기
REQ_018,수용,모델확장,-,자동 가입 상품 태깅,"L4 attribute 또는 명칭에 ""(자동)"" 표기",모델 확장
REQ_019,수용,추가-L4,인입 > ent_chat_purchase,전화상담 신청하기,ent_chat_purchase_04 | 전화상담 신청,
REQ_020,수용,추가-L2,인입,Care/Marketing 캠페인 접촉,ent_camp | Care/Marketing 캠페인 접촉,L3로 IB/OB 분리
