CJM_L1,CJM_L2,CJM_L3,CJM_L3코드,관련_L4(근거),SBF_업무ID,SBF_1Depth,SBF_2Depth,SBF_3Depth(업무명),BSS_화면수,BSS_대표화면(최대5),신뢰도,매칭근거,검수상태(승인/수정/반려),검수메모
구매/가입/개통,T ID / 온라인 채널 회원가입,T ID / 온라인 채널 회원가입,ord_member_join,앱별 회원가입 (T멤버십·T우주 단독),B3004,3.계약·개통,계약·개통,마케팅프로그램(멤버십) 가입,15,ZMBRSM0100010 멤버십등록관리 | ZORDSCUS00010 고객정보 | ZORDSCUS00050 법정대리인정보(P) | ZORDSCUS00080 동일고객 통합/삭제(P) | ZMBRSM01S0010 멤버십가입변경,상,용어일치: 가입·멤버십 / 동의어: 개통 / 단계축 일치 / L4 [앱별 회원가입 (T멤버십·T우주 단독)] 기준,,
구매/가입/개통,T ID / 온라인 채널 회원가입,T ID / 온라인 채널 회원가입,ord_member_join,,B3002,3.계약·개통,계약·개통,그룹회원 상품/마케팅 프로그램 가입,0,,중,용어일치: 가입·회원 / 동의어: 개통 / 단계축 일치,,
구매/가입/개통,T ID / 온라인 채널 회원가입,T ID / 온라인 채널 회원가입,ord_member_join,앱별 회원가입 (T멤버십·T우주 단독),B3010,3.계약·개통,계약·개통,제휴상품(구독) 가입,0,,중,용어일치: 가입 / 동의어: 개통 / 단계축 일치 / L4 [앱별 회원가입 (T멤버십·T우주 단독)] 기준,,
구매/가입/개통,T ID / 온라인 채널 회원가입,T ID / 온라인 채널 회원가입,ord_member_join,약관 동의 및 본인인증,B2051,2.회원·계정,동의·약관,동의 관리,10,ZORDSS0810011 KAIT개인정보 동의 URL MMS 발송화면 | ZORDSS0810020 ICT패밀리 동의조회 및 동의처리 | ZORDSS0810021 정보제공동의이력(상세내역)-detailed | ZORDSS0810022 정보제공동의이력(상세내역)-simple | ZORDSS0810030 ICT 패밀리 동의처리,중,용어일치: 동의·약관 / 단계축 일치 / L4 [약관 동의 및 본인인증] 기준,,
구매/가입/개통,T ID / 온라인 채널 회원가입,T ID / 온라인 채널 회원가입,ord_member_join,약관 동의 및 본인인증,B2008,2.회원·계정,동의·약관,신용정보 조회 동의 처리,6,ZORDSS0500320 한신평 신용정보 조회 | ZORDSS0100180 고객신용확인 | ZORDSS0100800 개인신용정보조회 | ZORDSS0101020 고객신용동의이미지 첨부 | ZORDSCUS00032 신청정보입력공통(SUB),중,용어일치: 동의·약관 / 단계축 일치 / L4 [약관 동의 및 본인인증] 기준,,
구매/가입/개통,T ID / 온라인 채널 회원가입,T ID / 온라인 채널 회원가입,ord_member_join,약관 동의 및 본인인증,B2009,2.회원·계정,동의·약관,메시지 거부자 등록/변경,0,,중,용어일치: 동의·약관 / 단계축 일치 / L4 [약관 동의 및 본인인증] 기준,,
구매/가입/개통,T우주 구독 가입,구독 상품 결제,ord_univ_pay,,B3002,3.계약·개통,계약·개통,그룹회원 상품/마케팅 프로그램 가입,0,,중,용어일치: 가입·상품 / 동의어: 개통 / 단계축 일치,,
구매/가입/개통,T우주 구독 가입,구독 상품 결제,ord_univ_pay,,B3010,3.계약·개통,계약·개통,제휴상품(구독) 가입,0,,중,용어일치: 가입·구독 / 동의어: 개통 / 단계축 일치,,
구매/가입/개통,T우주 구독 가입,구독 상품 결제,ord_univ_pay,,BC160,고객 여정,수납·결제,선불형 상품 충전결제(IT),12,ZPAYSADV00600 선불자동충전신청 | ZPAYSRPT00060 네이트온웹문자정산통계 | ZPAYSRPT00030 네이트온웹문자정산 대상업로드 | ZPAYSEDIS0200 이니시스 결제내역 조회 | ZPAYSEDIS0100 PG거래관리,중,용어일치: 결제·상품 / 동의어: 수납 / 단계축 일치,,
구매/가입/개통,T우주 구독 가입,구독 상품 결제,ord_univ_pay,상품 약관 동의,B2051,2.회원·계정,동의·약관,동의 관리,10,ZORDSS0810011 KAIT개인정보 동의 URL MMS 발송화면 | ZORDSS0810020 ICT패밀리 동의조회 및 동의처리 | ZORDSS0810021 정보제공동의이력(상세내역)-detailed | ZORDSS0810022 정보제공동의이력(상세내역)-simple | ZORDSS0810030 ICT 패밀리 동의처리,중,용어일치: 동의·약관 / 단계축 일치 / L4 [상품 약관 동의] 기준,,
