전체 D2 업무별 밸류드라이버 & KPI,,,,,,,,,
Date : 2026.04.21,,,,,,,,,
,,,,"*파란색 정성 지표, 초록색 정량 지표 ",,,,,
D2 업무,LTV 증대 위한 Value Driver Lv.2,Value Driver Lv.3,Value Driver Lv.4,D2업무별 관리 지표,KPI 산식,,,,
판매 전략 수립,고객 획득 및 관리 비용 절감,채널 믹스 효율성,마케팅/커미션 비용,채널별 획득 비용 편차, =채널 간 CPA 표준편차 / 전체 평균 CPA,,,,
판매 전략 수립,고객 획득 및 관리 비용 절감,채널 믹스 효율성,마케팅/커미션 비용,고관여 타겟 유입 비율, =고관여 타겟 고객 수 / 전체 유입 고객 수,,,,
판매 매출 예측,NA (판매 매출 예측 정확도 제고),NA,NA,NA,NA,,,,
판매 전략 실행 설계,신규 타겟 세그먼트 유입,고객 침투율,오퍼 도달/노출률 (Reach Rate),신규 유치 반응률 (CTR), = 유치 캠페인 반응 고객 수 ÷ 캠페인 도달 고객 수,,,,
판매 전략 실행 설계,신규 타겟 세그먼트 유입,고객 침투율,신청/예약 전환율 (CVR),신규 유치 전환률 (CVR), = 신규 가입 완료 고객 수 ÷ 유치 캠페인 반응 고객 수,,,,
판매 전략 실행 설계,ARPU 증대,할인/제휴,할인 적용률,신규/재약정 할인 적용률, = 신규/재약정 할인 적용 고객 수 ÷ 신규/재약정 할인 적용 대상 고객 수,,,,
판매 전략 시뮬레이션,신규 타겟 세그먼트 유입,고객 침투율,오퍼 도달/노출률 (Reach Rate),고객 오퍼 도달률/노출률, =오퍼 도달/노출 고객 수 / 타겟 고객 수,,,,
판매 전략 시뮬레이션,신규 타겟 세그먼트 유입,고객 침투율,오퍼 반응률 (Click-Through Rate),고객 오퍼 반응률, =오퍼 반응 고객 수 / 오퍼 도달/노출 고객 수,,,,
판매 전략 시뮬레이션,기존 핵심 세그먼트 유지,고객 유지율,해지 방어 성공률,맞춤 오퍼 반응률 (기존 고객), =기존 고객 대상 맞춤 오퍼 반응 고객 수 / 오퍼 발송 고객 수,,,,
판매 전략 실행 지원,신규 타겟 세그먼트 유입,고객 침투율,신청/예약 전환율 (CVR),신규 유치 전환률 (CVR), = 신규 가입 완료 고객 수 ÷ 유치 캠페인 반응 고객 수,,,,
판매 전략 실행 지원,신규 타겟 세그먼트 유입,고객 침투율,개통 성공률 (Activation Rate),개통 성공율, = 개통 성공 건수 ÷ 주문 발생 고객 수,,,,
판매 전략 실행 지원,신규 타겟 세그먼트 유입,고객 침투율,개통 성공률 (Activation Rate),유입 funnel 평균 리드타임, = 최초 접촉일  ~ 개통 완료일 평균 소요일,,,,
판매 전략 실행 지원,신규 타겟 세그먼트 유입,유입 만족도,고객 유입 만족도,가입 혜택 체감 가치, =만족도 결과 (NPS 점수 등),,,,
판매 전략 실행 지원,신규 타겟 세그먼트 유입,유입 만족도,고객 유입 만족도,가입 후 30일 순고객추천지수 (NPS), =만족도 결과 (NPS 점수 등),,,,
판매 전략 실행 지원,고객 획득 및 관리 비용 절감,고객당 획득 비용,마케팅/커미션 비용,신규 획득 고객당 지원금 및 유통망 인센티브, = 마케팅 지원금 및 유통망 인센티브 ÷ 신규 획득 고객 수,,,,
단말 수급 계획 설계,고객 획득 및 관리 비용 절감,고객당 획득 비용,마케팅/커미션 비용,고객당 단말 지원금/보조금, = 단말 지원금/보조금 총액 ÷ 단말 지원금/보조금 적용 대상 고객 수,,,,
상품 전략 수립,ARPU 증대,유치시점 ARPU,요금제 업그레이드 전환율,요금제 업그레이드 전환율(중가→고가/4G→5G), =요금제 업그레이드 고객 수 / 전체 고객 수,,,,
상품 전략 수립,ARPU 증대,유치시점 ARPU,부가상품 Attach Rate (가입률),고객당 부가 상품 보유 수, = 전체 부가 상품 가입 건수 ÷ 부가 상품 보유 고객 수,,,,
상품 기획,ARPU 증대,유치시점 ARPU,요금제 업그레이드 전환율,요금제 업그레이드 전환율(중가→고가/4G→5G), =요금제 업그레이드 고객 수 / 전체 고객 수,,,,
상품 기획,ARPU 증대,유치시점 ARPU,부가상품 Attach Rate (가입률),고객당 부가 상품 보유 수, = 전체 부가 상품 가입 건수 ÷ 부가 상품 보유 고객 수,,,,
